JoinField,JoinFieldAlt,estimated_turnout,win_prob_Fine,median_pct_Fine,median_votes_Fine,win_prob_Biss,median_pct_Biss,median_votes_Biss,win_prob_Abughazaleh,median_pct_Abughazaleh,median_votes_Abughazaleh,win_prob_Simmons,median_pct_Simmons,median_votes_Simmons,win_prob_Amiwala,median_pct_Amiwala,median_votes_Amiwala,win_prob_Andrew,median_pct_Andrew,median_votes_Andrew,win_prob_Huynh,median_pct_Huynh,median_votes_Huynh
COOK:7509003,COOK:Evanston Ward 9 Precinct 3,486,0.01836,0.20382358203457634,99,0.9755,0.4110112985899194,200,0.00584,0.16513410650671992,80,0.00022,0.060240447615232985,29,4e-05,0.046422709445232184,23,4e-05,0.04696605403226204,23,0.0,0.026363048859122523,13
COOK:8200057,COOK:Niles Precinct 57,280,0.7482,0.33982038672450554,95,0.2372,0.2699373413129418,76,0.01308,0.15069272559975144,42,0.00056,0.06514439042132045,18,0.00052,0.056120380973076145,16,0.00018,0.05169765620728299,14,0.00026,0.031052932654713115,9
COOK:9600070,COOK:Wheeling Precinct 70,306,0.74796,0.34020166071107816,104,0.23734,0.2703841575506052,83,0.01336,0.14979154934290262,46,0.00048,0.06538936689962849,20,0.00046,0.05613250945939636,17,0.00026,0.05180421955307101,16,0.00014,0.031457625680410925,10
COOK:7508005,COOK:Evanston Ward 8 Precinct 5,419,0.0178,0.20347593164604344,85,0.97518,0.4103956412558877,172,0.00656,0.16544227365338948,69,0.00026,0.05998620264594377,25,6e-05,0.04670258898704894,20,0.0001,0.04729600949086781,20,4e-05,0.026205918537120346,11
COOK:8200046,COOK:Niles Precinct 46,279,0.34876,0.2751559238559149,77,0.6107,0.3097196926965609,86,0.0375,0.1719532823447713,48,0.0019,0.08044450363316985,22,0.00046,0.044559243159221565,12,0.0004,0.05106286916279255,14,0.00028,0.030381742518551715,8
COOK:8200014,COOK:Niles Precinct 14,309,0.35186,0.24790960479256388,77,0.44596,0.2611771192263902,81,0.19274,0.21604004343385022,67,0.00442,0.08596663478664628,27,0.0034,0.07683426858720058,24,0.00124,0.050488965986434035,16,0.00038,0.029959357198277393,9
COOK:7504006,COOK:Evanston Ward 4 Precinct 6,431,0.01454,0.19655829241695863,85,0.97798,0.4126173585840537,178,0.00736,0.1770217356960212,76,2e-05,0.051326356263698844,22,6e-05,0.04725279879132326,20,2e-05,0.04686150328640966,20,2e-05,0.025876233071477697,11
COOK:7505002,COOK:Evanston Ward 5 Precinct 2,463,0.04734,0.18605534991871941,86,0.84054,0.3400542998949311,157,0.10916,0.22195488379566128,103,0.00026,0.04765598610993822,22,0.00224,0.09193786877488928,43,0.00036,0.048080958590692,22,0.0001,0.02690836051295615,12
LAKE:VERNON 284,LAKE:Vernon 284,327,0.75122,0.3402646138392262,111,0.23448,0.27017662988874624,88,0.01292,0.14963103766110514,49,0.00072,0.06457467136952993,21,0.00034,0.05626370107967611,18,0.00022,0.05189713145461368,17,0.0001,0.031041947922469698,10
COOK:8200050,COOK:Niles Precinct 50,268,0.3476,0.27545773798123774,74,0.61276,0.3106217392578874,83,0.03694,0.17178837060431632,46,0.0018,0.08030627014890439,22,0.0004,0.04382053342607076,12,0.00028,0.05061563024398185,14,0.00022,0.030436765426624234,8
COOK:8200017,COOK:Niles Precinct 17,316,0.34964,0.27714505830821223,88,0.6135,0.31142961736027713,98,0.03448,0.17118036004806392,54,0.00162,0.07802295028084025,25,0.00042,0.04344867844657947,14,0.00018,0.050906524505954016,16,0.00016,0.030677770928558237,10
COOK:8200040,COOK:Niles Precinct 40,342,0.34742,0.2758158103595211,94,0.61294,0.31036972509240374,106,0.0373,0.17225727091948762,59,0.00144,0.08076826195016207,28,0.00026,0.04390087832169805,15,0.0004,0.05027708452316618,17,0.00024,0.029473390041339375,10
COOK:8200058,COOK:Niles Precinct 58,272,0.75126,0.3412274546456429,93,0.23364,0.27021896565370906,73,0.01374,0.1495287784686714,41,0.0006,0.06551576637236256,18,0.00052,0.055418327064623615,15,0.00014,0.05215854846265728,14,0.0001,0.0306872107042252,8
COOK:8200013,COOK:Niles Precinct 13,220,0.75454,0.3413305284900904,75,0.23058,0.2694836190812486,59,0.01358,0.14967173015012197,33,0.00052,0.06507728224633377,14,0.00052,0.05568254710048866,12,0.00012,0.051856560078928894,11,0.00014,0.03155031790211599,7
COOK:7503002,COOK:Evanston Ward 3 Precinct 2,450,0.01554,0.19963179061916286,90,0.97604,0.41118089595469537,185,0.00822,0.17131686713738387,77,8e-05,0.055282172160629826,25,4e-05,0.04695564646553584,21,4e-05,0.04756781976658571,21,4e-05,0.026530777658486868,12
COOK:9600054,COOK:Wheeling Precinct 54,207,0.77164,0.35460217702000285,73,0.2204,0.27854729513234444,58,0.00744,0.14001904930182468,29,0.0001,0.05225341297720753,11,0.00018,0.05334723574768954,11,8e-05,0.05206674681944721,11,0.00016,0.030642825420822244,6
COOK:9600051,COOK:Wheeling Precinct 51,233,0.7498,0.34036290548366016,79,0.23484,0.26980320886374065,63,0.01392,0.1503258436986225,35,0.00066,0.06573232854616791,15,0.00038,0.05613283021574886,13,0.00026,0.05208196487361705,12,0.00014,0.03113989708624349,7
COOK:9600066,COOK:Wheeling Precinct 66,273,0.7515,0.3410361362237072,93,0.23382,0.2700752949897341,74,0.01348,0.14972522987239717,41,0.00058,0.06543630122509637,18,0.00044,0.05586595786328827,15,6e-05,0.05207782186885063,14,0.00012,0.03131958621801653,9
COOK:9600038,COOK:Wheeling Precinct 38,262,0.3477,0.2754921925579089,72,0.61216,0.31044963563061423,81,0.0376,0.17201361943318155,45,0.00156,0.08041868614426445,21,0.00042,0.043904236002804395,12,0.0004,0.05079021538832035,13,0.00016,0.029545664741082153,8
COOK:8200015,COOK:Niles Precinct 15,308,0.3498,0.2758257289075421,85,0.61058,0.31007938457101636,96,0.0369,0.1719808281555965,53,0.00176,0.08040237231458258,25,0.00036,0.043854768576111536,14,0.00028,0.05104794009347162,16,0.00032,0.030312279816506516,9
COOK:8200039,COOK:Niles Precinct 39,298,0.34418,0.275126481838556,82,0.6161,0.31108861963423373,93,0.03692,0.1716269524326643,51,0.00164,0.08047184119074449,24,0.00052,0.04423433145231588,13,0.00044,0.049338712453510375,15,0.0002,0.029785302875510525,9
COOK:8200041,COOK:Niles Precinct 41,276,0.35012,0.24774068464497934,68,0.44854,0.26231827382634354,72,0.19228,0.21594305600446384,60,0.00434,0.08580152847231495,24,0.00338,0.07695526631130417,21,0.00078,0.05014976588996111,14,0.00056,0.029832807338139464,8
COOK:9600043,COOK:Wheeling Precinct 43,221,0.32904,0.2699244404760409,60,0.61028,0.306812009614071,68,0.05798,0.1868003975266759,41,0.00156,0.07295405546747097,16,0.00056,0.04580292948398272,10,0.00028,0.050275893753680065,11,0.0003,0.02959035826677693,7
COOK:8200044,COOK:Niles Precinct 44,283,0.34972,0.275492738044677,78,0.60832,0.3098352448179356,88,0.03916,0.17172656576829476,49,0.00176,0.0801580571882562,23,0.00042,0.04483389557344404,13,0.00042,0.050647162067697774,14,0.0002,0.030171150372589925,9
COOK:9600044,COOK:Wheeling Precinct 44,245,0.7481,0.3403538913956782,83,0.23726,0.26970173155423377,66,0.01324,0.15028675781462175,37,0.00054,0.06506606932998629,16,0.00056,0.05715615914062775,14,0.00016,0.05194489586313442,13,0.00014,0.03151295977637223,8
LAKE:ELA 81,LAKE:Ela 81,203,0.74964,0.340875340699427,69,0.23644,0.2698496922044946,55,0.01304,0.14955622061228727,30,0.00042,0.06518678129996207,13,0.00028,0.056094665169837056,11,6e-05,0.05178569214188282,11,0.00012,0.03154319851180695,6
LAKE:ELA 90,LAKE:Ela 90,233,0.74856,0.3401478090999219,79,0.23708,0.2699374934823954,63,0.01302,0.1498030947912286,35,0.00074,0.06563153923618029,15,0.00034,0.05544424111163168,13,0.00014,0.05201511121888677,12,0.00012,0.03162263000555424,7
COOK:7503005,COOK:Evanston Ward 3 Precinct 5,399,0.01482,0.1990866563575901,79,0.97776,0.41132205717083486,164,0.00724,0.17273854272313113,69,8e-05,0.0543680877444403,22,6e-05,0.046724232937814095,19,4e-05,0.04714763454034932,19,0.0,0.026217920202259513,10
COOK:8100033,COOK:New Trier Precinct 33,416,0.34808,0.27493524919847045,114,0.6119,0.31024581627086223,129,0.03714,0.17261114958736917,72,0.00202,0.08037965592543235,33,0.00046,0.043993550162419036,18,0.00018,0.05063642233882981,21,0.00022,0.031001712274452878,13
LAKE:ELA 88,LAKE:Ela 88,219,0.75168,0.3411995287746059,75,0.23404,0.2698983458501699,59,0.01306,0.14960707314715613,33,0.00062,0.06539761631240534,14,0.00042,0.05596912850283724,12,4e-05,0.051545372718007146,11,0.00014,0.03153354094805997,7
COOK:8300037,COOK:Northfield Precinct 37,307,0.74942,0.3402141989359569,104,0.2359,0.269652849508947,83,0.01306,0.14980300347071512,46,0.0009,0.06534142080533067,20,0.00052,0.05615701799769759,17,0.0001,0.05185520387384544,16,0.0001,0.031090645882840637,10
COOK:7508001,COOK:Evanston Ward 8 Precinct 1,372,0.0145,0.19733300311090463,73,0.97712,0.4125696233964782,153,0.00822,0.17550518191858225,65,2e-05,0.05241915924790158,19,8e-05,0.04690547547204353,17,6e-05,0.04692597795290368,17,0.0,0.026157773812402522,10
COOK:7502004,COOK:Evanston Ward 2 Precinct 4,490,0.01848,0.2027151079741591,99,0.97498,0.4107047245516727,201,0.00618,0.16530990946113175,81,0.00016,0.059820770145363245,29,0.0001,0.04630896066335581,23,8e-05,0.047162556535490605,23,2e-05,0.026892183150605,13
COOK:8000058,COOK:Maine Precinct 58,182,0.75274,0.3424163559938057,62,0.23452,0.2711079863589603,49,0.01162,0.14831400655470778,27,0.0005,0.0643569230503643,12,0.0004,0.05566983820948129,10,8e-05,0.051939311686929716,9,0.00014,0.031110649071675066,6
COOK:8200010,COOK:Niles Precinct 10,220,0.35062,0.27612652037614327,61,0.6094,0.3098136034084128,68,0.03702,0.17204169206558434,38,0.00184,0.08042313157289879,18,0.00056,0.044508243971350545,10,0.00036,0.05102697346697489,11,0.0002,0.030281930046417712,7
COOK:8200049,COOK:Niles Precinct 49,421,0.35408,0.24802317023206097,104,0.44258,0.26185354409997375,110,0.194,0.2160395793692655,91,0.00424,0.08600371914942001,36,0.00354,0.0774793262286709,33,0.0011,0.05047042784925229,21,0.00046,0.02966839365159872,12
COOK:8200035,COOK:Niles Precinct 35,225,0.34882,0.27522865581865263,62,0.61212,0.31014204835891485,70,0.03664,0.1725148641355413,39,0.00144,0.08009528922110822,18,0.00032,0.04473809602781868,10,0.0004,0.05119757287682543,12,0.00026,0.029884386687733674,7
LAKE:CUBA 70,LAKE:Cuba 70,256,0.8031,0.3785356045443644,97,0.19486,0.2929883530488254,75,0.00176,0.12305812998717629,32,6e-05,0.029769934156731286,8,0.0001,0.04830001845737866,12,4e-05,0.051840274799253974,13,8e-05,0.03142394995411092,8
COOK:8000051,COOK:Maine Precinct 51,167,0.34786,0.2756648067886813,46,0.61206,0.3104864303357959,52,0.0372,0.1720039266064261,29,0.00194,0.08025591586340072,13,0.0004,0.044230600785392794,7,0.0004,0.050850387349381944,8,0.00014,0.030255201924157978,5
COOK:9600061,COOK:Wheeling Precinct 61,308,0.74778,0.33996739410852156,105,0.23828,0.2701629270576146,83,0.01274,0.14990240268009453,46,0.00038,0.0650155115745687,20,0.0005,0.056160561684763396,17,0.00016,0.05232400309284904,16,0.00016,0.031011274871435224,10
COOK:7506006,COOK:Evanston Ward 6 Precinct 6,505,0.00838,0.21918338964562845,111,0.99132,0.4605964784271702,233,0.00024,0.11962190298380809,60,4e-05,0.04792148716576064,24,0.0,0.033440753650099894,17,2e-05,0.047220857668083725,24,0.0,0.026043663881732772,13
COOK:8000046,COOK:Maine Precinct 46,204,0.74538,0.34011819130966414,69,0.24046,0.27062646333015006,55,0.01312,0.15026482866413976,31,0.0006,0.06460417934486176,13,0.00026,0.056114895866395384,11,0.0001,0.05125172476181123,10,8e-05,0.03088330661986808,6
COOK:8300008,COOK:Northfield Precinct 8,364,0.75658,0.34567835819350523,126,0.232,0.27354565216163346,100,0.01048,0.1457898358571631,53,0.00038,0.06042453300709398,22,0.00032,0.05483571000590562,20,0.0001,0.05172104422820069,19,0.00014,0.03153524512219233,11
COOK:8300019,COOK:Northfield Precinct 19,328,0.34612,0.27552319414119464,90,0.61264,0.31048207094725644,102,0.03838,0.17162448477802023,56,0.0017,0.08047508220986725,26,0.00058,0.04416877887127659,14,0.00032,0.05101033189591863,17,0.00026,0.029960690128370486,10
COOK:8100021,COOK:New Trier Precinct 21,321,0.34928,0.2766411044463908,89,0.61222,0.3110511253012798,100,0.03584,0.171390880950452,55,0.0014,0.07913091594704255,25,0.00046,0.04436142306925284,14,0.00044,0.051953504480832996,17,0.00036,0.02942149993351178,9
LAKE:ELA 87,LAKE:Ela 87,238,0.75088,0.34045515139089966,81,0.23468,0.26953733347893627,64,0.01324,0.15005942984206364,36,0.00066,0.0655239127495372,16,0.0004,0.05592102057840946,13,6e-05,0.05156521733176102,12,8e-05,0.031075369940220917,7
COOK:8300035,COOK:Northfield Precinct 35,253,0.74792,0.34066918554031345,86,0.23706,0.27054510645863206,68,0.0138,0.14948915816647812,38,0.00054,0.06497812747103139,16,0.00044,0.05593426415502317,14,0.00016,0.051827427169586944,13,8e-05,0.03122544110054786,8
COOK:8300027,COOK:Northfield Precinct 27,238,0.347,0.2753316696847107,66,0.61374,0.3099054838220499,74,0.0368,0.17155682645378878,41,0.00182,0.08054895493006095,19,0.00018,0.044080728115297466,10,0.00026,0.05125426234450437,12,0.0002,0.03032273214616562,7
COOK:9600060,COOK:Wheeling Precinct 60,247,0.75032,0.3411760164586848,84,0.23486,0.2707501341924806,67,0.01358,0.14916328651942684,37,0.00056,0.0645751097226529,16,0.00044,0.05577908432314697,14,8e-05,0.05154632541823925,13,0.00016,0.030958971845328687,8
COOK:7501002,COOK:Evanston Ward 1 Precinct 2,308,0.0474,0.18543282303943975,57,0.84204,0.34018731581634787,105,0.10774,0.2222763607796848,68,0.00038,0.04781112385379036,15,0.00178,0.09140580881160876,28,0.00048,0.04779556138454491,15,0.00018,0.027962146922268515,9
